filename,H_mean,banana_percent,Edge_percent
Awak4.JPG,24.75,15.00%,0.49%
Awak04.JPG,28.57,15.04%,0.42%
Awak05.JPG,24.74,15.72%,0.07%
Awak06.JPG,23.38,17.04%,0.52%
Awak07.JPG,26.32,16.25%,0.65%
Awak08.JPG,25.64,14.09%,0.30%
Awak09.JPG,23.47,15.26%,0.35%
Awak10.JPG,23.13,16.82%,0.11%
Awak11.JPG,24.61,15.03%,0.09%
Awak12.JPG,24.42,15.85%,0.43%
Awak13.JPG,24.66,14.14%,0.43%
Awak14.JPG,25.86,14.89%,0.71%
Awak15.JPG,23.74,15.25%,0.36%
Awak16.JPG,26.52,14.49%,0.06%
Awak17.JPG,23.92,13.99%,0.07%
Awak18.JPG,22.87,14.58%,0.10%
Awak19.JPG,26.20,16.28%,0.06%
Awak20.JPG,25.80,17.01%,0.08%
Awak21.JPG,25.48,17.68%,0.09%
Awak22.JPG,23.12,15.01%,0.08%
Awak23.JPG,26.09,14.01%,0.36%
Awak24.JPG,23.47,15.16%,0.11%
Awak25.JPG,25.98,15.03%,0.08%
Awak26.JPG,23.31,13.79%,0.58%
Awak27.JPG,25.61,15.15%,0.30%
Awak28.JPG,25.92,13.69%,0.23%
Awak29.JPG,24.56,13.75%,0.07%
Awak30.JPG,23.59,14.86%,0.06%
Awak31.JPG,25.84,15.72%,0.43%
Awak32.JPG,27.46,17.76%,0.35%
Awak33.JPG,26.00,15.91%,0.52%
Awak34.JPG,25.30,16.66%,0.29%
Awak35.JPG,24.51,14.27%,0.08%
Awak36.JPG,23.16,15.53%,0.08%
Awak37.JPG,24.07,14.73%,0.07%
Awak38.JPG,25.27,15.49%,0.53%
Awak39.JPG,25.78,16.01%,0.07%
Awak40.JPG,24.60,16.08%,0.53%
Awak41.JPG,23.98,16.21%,0.40%
Awak42.JPG,24.07,16.14%,0.48%
Awak43.JPG,25.55,13.94%,0.42%
Awak44.JPG,22.43,14.91%,0.54%
Awak45.JPG,23.55,17.24%,0.48%
Awak46.JPG,27.88,16.85%,0.46%
Awak47.JPG,24.46,16.11%,0.46%
Awak48.JPG,25.27,12.94%,0.25%
