filename,H_mean,banana_percent,Edge_percent
Cavendish04.JPG,24.55,17.39%,0.07%
Cavendish05.JPG,24.54,15.58%,0.30%
Cavendish06.JPG,24.53,20.10%,0.38%
Cavendish07.JPG,24.43,16.22%,0.31%
Cavendish08.JPG,24.55,18.28%,0.38%
Cavendish09.JPG,24.02,18.66%,0.37%
Cavendish10.JPG,24.62,17.95%,0.31%
Cavendish11.JPG,24.65,17.93%,0.32%
Cavendish12.JPG,25.02,17.72%,0.05%
Cavendish13.JPG,24.64,17.47%,0.06%
Cavendish14.JPG,24.61,17.47%,0.06%
Cavendish15.JPG,24.02,17.05%,0.07%
Cavendish16.JPG,23.69,19.06%,0.39%
Cavendish17.JPG,24.74,21.20%,0.40%
Cavendish18.JPG,24.68,16.50%,0.07%
Cavendish19.JPG,24.67,19.65%,0.06%
Cavendish20.JPG,24.20,18.88%,0.37%
Cavendish21.JPG,24.48,20.44%,0.25%
Cavendish22.JPG,25.38,20.64%,0.01%
Cavendish23.JPG,24.75,15.57%,0.47%
Cavendish24.JPG,25.28,19.14%,0.38%
Cavendish25.JPG,24.57,16.85%,0.07%
Cavendish26.JPG,25.38,18.88%,0.50%
Cavendish27.JPG,25.16,17.89%,0.42%
Cavendish28.JPG,26.76,19.27%,0.22%
Cavendish29.JPG,27.59,15.30%,0.27%
Cavendish30.JPG,27.55,15.26%,0.25%
Cavendish31.JPG,23.07,22.76%,0.06%
Cavendish32.JPG,24.19,22.46%,0.07%
Cavendish33.JPG,24.34,18.60%,0.30%
Cavendish34.JPG,24.37,24.03%,0.09%
Cavendish35.JPG,25.08,24.66%,0.38%
Cavendish36.JPG,24.74,22.63%,0.26%
Cavendish37.JPG,23.81,18.72%,0.30%
Cavendish38.JPG,24.45,19.78%,0.06%
Cavendish39.JPG,24.19,19.26%,0.47%
Cavendish40.JPG,24.00,20.54%,0.10%
Cavendish41.JPG,23.98,18.12%,0.07%
Cavendish42.JPG,24.22,20.73%,0.36%
Cavendish43.JPG,23.50,17.80%,0.31%
Cavendish44.JPG,24.57,19.74%,0.00%
Cavendish45.JPG,24.47,18.17%,0.06%
Cavendish46.JPG,24.47,18.37%,0.06%
Cavendish47.JPG,24.02,22.70%,0.07%
Cavendish48.JPG,23.90,19.18%,0.07%
