filename,H_mean,banana_percent,Edge_percent
Mas01.JPG,28.37,11.65%,0.32%
Mas02.JPG,25.19,9.72%,0.33%
Mas03.JPG,27.17,10.05%,0.19%
Mas04.JPG,25.52,11.41%,0.29%
Mas05.JPG,30.93,8.66%,0.19%
Mas06.JPG,25.64,10.25%,0.20%
Mas07.JPG,26.40,11.69%,0.20%
Mas08.JPG,27.63,10.12%,0.14%
Mas09.JPG,26.66,10.92%,0.19%
Mas10.JPG,26.08,11.36%,0.23%
Mas11.JPG,26.17,9.81%,0.21%
Mas12.JPG,26.35,10.29%,0.25%
Mas13.JPG,27.03,11.21%,0.17%
Mas14.JPG,28.85,9.00%,0.26%
Mas15.JPG,26.55,10.06%,0.23%
Mas16.JPG,31.41,9.24%,0.23%
Mas17.JPG,28.89,9.42%,0.05%
Mas18.JPG,26.64,11.01%,0.36%
Mas19.JPG,26.88,10.63%,0.26%
Mas20.JPG,25.58,9.34%,0.26%
Mas21.JPG,27.79,8.13%,0.20%
Mas22.JPG,24.77,9.86%,0.31%
Mas23.JPG,26.01,10.08%,0.22%
Mas24.JPG,26.55,10.93%,0.21%
Mas25.JPG,26.65,11.66%,0.20%
Mas26.JPG,26.12,9.97%,0.35%
Mas27.JPG,25.80,10.13%,0.20%
Mas28.JPG,26.82,10.61%,0.18%
Mas29.JPG,30.26,8.53%,0.18%
Mas30.JPG,27.65,11.10%,0.30%
Mas31.JPG,26.16,9.83%,0.06%
Mas32.JPG,24.93,8.85%,0.04%
Mas33.JPG,24.13,9.86%,0.37%
Mas34.JPG,29.25,8.58%,0.05%
Mas35.JPG,26.45,9.80%,0.17%
Mas36.JPG,27.87,9.24%,0.27%
Mas37.JPG,27.08,9.69%,0.05%
Mas38.JPG,27.52,10.05%,0.21%
Mas39.JPG,26.47,9.20%,0.25%
Mas40.JPG,26.80,10.36%,0.04%
Mas41.JPG,26.19,8.91%,0.18%
Mas42.JPG,25.96,8.68%,0.20%
Mas43.JPG,23.76,9.07%,0.34%
Mas44.JPG,25.75,9.09%,0.29%
Mas45.JPG,26.27,10.46%,0.20%
Mas46.JPG,24.34,8.26%,0.06%
Mas47.JPG,26.19,9.28%,0.04%
Mas48.JPG,25.12,8.77%,0.20%
Mas49.JPG,26.44,9.84%,0.27%
Mas50.JPG,26.78,10.02%,0.20%
Mas51.JPG,29.38,10.29%,0.06%
Mas52.JPG,27.49,9.30%,0.05%
Mas53.JPG,25.05,9.28%,0.26%
Mas54.JPG,26.15,9.94%,0.24%
Mas55.JPG,26.10,10.39%,0.23%
Mas56.JPG,27.76,9.86%,0.17%
Mas57.JPG,25.89,9.79%,0.05%
Mas58.JPG,26.82,8.07%,0.05%
